team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2008,NYI,2008020033,NYI,BUF,HOME,20081013,Team Level,other,0.249,0.2727,0.3333,352.0,2.115,0.196,0.116,0.363,0.084,0.951,1.291,0.196,0.196,0.196,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,9.0,1.0,1.0,4.0,2.0,1.0,0.0,0.073,0.123,0.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,0.028,0.0,0.0,0.224,0.224,0.224,3.972,0.591,0.209,0.637,0.107,1.69,2.765,0.591,0.591,0.591,5.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,5.0,8.0,49.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.05,0.086,0.455,0.0,0.0,1.0,8.0,6.0,6.0,1.0,0.068,0.0,0.0,0.66,0.66,0.659
NYI,2008,NYI,2008020033,NYI,BUF,HOME,20081013,Team Level,all,0.3108,0.4404,0.4545,3600.0,24.921,1.75,1.745,5.401,0.791,12.979,12.335,1.712,1.637,1.603,24.0,11.0,13.0,48.0,1.0,1.0,0.0,5.0,2.0,9.0,17.0,23.0,34.0,18.0,61.0,40.0,26.0,15.0,10.0,28.0,7.0,0.0,0.829,0.922,0.0,1.0,0.0,0.0,44.727,35.0,32.547,4.0,0.378,0.17,0.17,1.958,1.84,1.83,30.377,3.88,2.207,5.941,0.979,15.376,13.617,3.642,4.035,3.796,35.0,7.0,19.0,61.0,7.0,1.0,1.0,4.0,2.0,17.0,11.0,28.0,35.0,13.0,59.0,20.0,15.0,5.0,9.0,30.0,6.0,6.0,0.796,0.674,2.41,1.0,1.0,5.0,65.727,42.0,44.58,6.0,0.532,0.297,0.297,4.116,4.293,4.064
NYI,2008,NYI,2008020033,NYI,BUF,HOME,20081013,Team Level,5on5,0.4599,0.4627,0.5208,2102.0,17.928,1.164,1.24,4.172,0.561,9.714,8.149,1.127,1.051,1.018,18.0,7.0,6.0,31.0,0.0,1.0,0.0,4.0,1.0,7.0,12.0,18.0,25.0,13.0,51.0,16.0,16.0,11.0,5.0,21.0,4.0,0.0,0.6,0.564,0.0,0.0,0.0,0.0,27.727,25.0,22.547,3.0,0.255,0.17,0.17,1.249,1.131,1.123,16.73,1.367,1.079,3.8,0.531,9.178,7.043,1.362,1.522,1.516,20.0,3.0,13.0,36.0,3.0,0.0,0.0,2.0,1.0,13.0,4.0,17.0,20.0,5.0,10.0,13.0,14.0,3.0,5.0,18.0,4.0,1.0,0.581,0.497,0.289,1.0,1.0,1.0,40.727,23.0,25.58,4.0,0.221,0.0,0.0,1.588,1.766,1.76
NYI,2008,NYI,2008020033,NYI,BUF,HOME,20081013,Team Level,4on5,0.1689,0.3684,0.3077,751.0,2.911,0.291,0.18,0.307,0.073,0.921,2.228,0.291,0.291,0.291,3.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,3.0,6.0,10.0,6.0,2.0,0.0,2.0,2.0,0.0,0.056,0.234,0.0,0.0,0.0,0.0,7.0,4.0,4.0,0.0,0.043,0.0,0.0,0.333,0.333,0.333,6.567,1.432,0.727,1.106,0.252,3.635,1.847,1.216,1.432,1.216,8.0,1.0,3.0,12.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,6.0,7.0,0.0,0.0,5.0,0.0,0.0,2.0,6.0,0.0,3.0,0.062,0.0,1.37,0.0,0.0,2.0,12.0,9.0,9.0,0.0,0.199,0.0,0.0,1.631,1.631,1.41
NYI,2008,NYI,2008020033,NYI,BUF,HOME,20081013,Team Level,5on4,0.1695,0.5833,0.4286,395.0,1.967,0.1,0.209,0.559,0.073,1.393,0.666,0.098,0.1,0.098,1.0,2.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,4.0,5.0,3.0,1.0,1.0,3.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,0.0,0.052,0.0,0.0,0.152,0.152,0.15,3.107,0.49,0.191,0.397,0.088,0.872,1.962,0.473,0.49,0.473,2.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.103,0.091,0.297,0.0,0.0,1.0,5.0,4.0,4.0,1.0,0.043,0.297,0.297,0.237,0.237,0.236
NYI,2008,NYI,2008020051,NYI,T.B,AWAY,20081016,Team Level,other,0.4815,0.6923,0.6364,282.0,4.008,0.208,0.352,0.932,0.168,3.008,1.397,0.204,0.208,0.204,5.0,2.0,2.0,9.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,6.0,0.0,0.0,4.0,3.0,0.0,0.0,7.0,0.0,0.0,0.208,0.0,0.0,1.0,0.0,0.0,9.0,7.0,7.0,0.0,0.131,0.0,0.0,0.274,0.274,0.266,2.563,0.224,0.191,0.447,0.085,1.739,1.314,0.224,0.224,0.224,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,0.134,0.091,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,0.047,0.0,0.0,0.271,0.271,0.271
NYI,2008,NYI,2008020051,NYI,T.B,AWAY,20081016,Team Level,all,0.3974,0.5,0.4783,3651.0,29.206,2.25,2.103,6.842,1.021,17.397,13.453,2.206,2.356,2.309,36.0,8.0,14.0,58.0,4.0,3.0,2.0,3.0,1.0,13.0,20.0,32.0,40.0,7.0,14.0,26.0,14.0,5.0,7.0,38.0,3.0,3.0,0.774,0.417,1.059,1.0,1.0,2.0,60.166,44.0,45.609,6.0,0.538,0.499,0.499,2.224,2.294,2.279,34.462,3.412,2.476,7.593,1.043,19.467,14.009,3.281,3.264,3.138,36.0,12.0,10.0,58.0,3.0,5.0,2.0,9.0,0.0,16.0,15.0,33.0,45.0,10.0,20.0,35.0,20.0,7.0,11.0,35.0,8.0,5.0,0.995,0.945,1.472,0.0,1.0,2.0,55.281,48.0,45.696,4.0,0.548,1.455,1.455,2.505,2.401,2.357
NYI,2008,NYI,2008020051,NYI,T.B,AWAY,20081016,Team Level,5on5,0.3291,0.3793,0.3542,1975.0,12.426,1.103,0.719,3.462,0.409,6.219,5.088,1.064,1.21,1.166,16.0,1.0,5.0,22.0,2.0,3.0,2.0,0.0,1.0,4.0,7.0,14.0,15.0,6.0,12.0,15.0,9.0,4.0,4.0,13.0,3.0,1.0,0.408,0.417,0.278,0.0,1.0,1.0,24.166,17.0,18.609,4.0,0.145,0.499,0.499,0.749,0.82,0.813,23.257,2.249,1.557,5.363,0.678,11.997,9.156,2.154,2.101,2.012,25.0,6.0,5.0,36.0,3.0,3.0,2.0,7.0,0.0,10.0,8.0,22.0,28.0,8.0,16.0,14.0,15.0,4.0,4.0,23.0,4.0,4.0,0.537,0.548,1.165,0.0,1.0,2.0,33.281,31.0,28.696,1.0,0.324,0.799,1.148,1.426,1.322,1.31
NYI,2008,NYI,2008020051,NYI,T.B,AWAY,20081016,Team Level,4on5,0.0525,0.15,0.1875,652.0,1.828,0.052,0.036,0.169,0.052,0.426,2.265,0.052,0.052,0.052,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,5.0,1.0,1.0,2.0,3.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.01,0.0,0.0,0.062,0.062,0.062,8.642,0.939,0.728,1.783,0.28,5.731,3.54,0.903,0.939,0.903,8.0,5.0,4.0,17.0,0.0,2.0,0.0,2.0,0.0,4.0,5.0,8.0,13.0,0.0,0.0,11.0,1.0,1.0,5.0,9.0,3.0,1.0,0.325,0.306,0.308,0.0,0.0,0.0,17.0,13.0,13.0,1.0,0.177,0.656,0.308,0.808,0.808,0.776
NYI,2008,NYI,2008020051,NYI,T.B,AWAY,20081016,Team Level,5on4,1.0,0.96,1.0,742.0,10.944,0.888,0.995,2.279,0.392,7.744,4.703,0.887,0.888,0.887,12.0,5.0,7.0,24.0,1.0,0.0,0.0,1.0,0.0,5.0,10.0,11.0,16.0,1.0,2.0,2.0,1.0,0.0,1.0,15.0,0.0,2.0,0.106,0.0,0.782,0.0,0.0,1.0,24.0,17.0,17.0,0.0,0.251,0.0,0.0,1.138,1.138,1.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
