playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8473575,2011,Semyon Varlamov,COL,G,5on5,53,152907.0,99.44,95.0,2264.0,83.82,105.0,296.89,262.0,1248.7,1252.0,40.99,39.0,686.37,551.0,532.77,681.0,96.09,1354.0,302.0,85.0,39.11,36.72,23.62,31.0,37.0,27.0,523.0,2.0,1.0
8473575,2011,Semyon Varlamov,COL,G,4on5,53,17531.0,24.57,28.0,424.0,19.41,18.0,45.3,34.0,216.32,205.0,1.21,0.0,137.25,125.0,73.42,97.0,23.27,227.0,52.0,28.0,6.86,6.7,11.01,5.0,8.0,15.0,117.0,0.0,0.0
8473575,2011,Semyon Varlamov,COL,G,5on4,53,13354.0,2.01,2.0,39.0,0.99,0.0,2.62,4.0,21.54,25.0,6.26,3.0,5.9,3.0,19.84,23.0,2.0,25.0,4.0,3.0,0.59,0.57,0.84,1.0,0.0,1.0,7.0,0.0,0.0
8473575,2012,Semyon Varlamov,COL,G,other,35,3018.0,9.18,9.0,118.0,5.11,8.0,12.12,9.0,62.03,66.0,1.41,3.0,33.84,27.0,20.67,30.0,8.34,46.0,23.0,14.0,1.4,2.96,4.82,1.0,5.0,3.0,35.0,0.0,0.0
8473575,2012,Semyon Varlamov,COL,G,all,35,116979.0,90.09,98.0,1964.0,75.5,91.0,232.9,217.0,1020.18,1007.0,29.5,25.0,572.4,452.0,417.48,530.0,86.46,1073.0,266.0,83.0,30.55,32.57,26.97,31.0,36.0,31.0,542.0,0.0,0.0
8473575,2012,Semyon Varlamov,COL,G,5on5,35,92503.0,59.82,66.0,1455.0,51.72,56.0,179.45,179.0,758.9,747.0,23.54,18.0,422.61,327.0,320.72,401.0,58.24,833.0,184.0,42.0,24.75,22.35,12.7,28.0,24.0,14.0,396.0,0.0,0.0
8473575,2012,Semyon Varlamov,COL,G,4on5,35,12388.0,18.29,21.0,345.0,17.21,24.0,37.16,27.0,172.08,165.0,0.51,0.0,107.31,94.0,55.94,74.0,17.12,167.0,52.0,23.0,3.61,6.33,8.36,1.0,7.0,13.0,103.0,0.0,0.0
8473575,2012,Semyon Varlamov,COL,G,5on4,35,9070.0,2.1,2.0,37.0,1.01,2.0,3.05,2.0,21.03,23.0,4.02,4.0,5.81,3.0,17.45,20.0,2.09,22.0,4.0,4.0,0.52,0.49,1.09,1.0,0.0,1.0,7.0,0.0,0.0
8473575,2013,Semyon Varlamov,COL,G,other,63,5137.0,15.72,16.0,198.0,8.19,9.0,21.99,26.0,112.82,108.0,2.23,2.0,65.23,62.0,43.19,43.0,13.72,97.0,41.0,20.0,3.37,4.76,7.59,4.0,6.0,6.0,40.0,0.0,0.0
8473575,2013,Semyon Varlamov,COL,G,all,63,217186.0,172.67,146.0,3660.0,141.52,154.0,452.74,471.0,1982.24,2013.0,54.66,55.0,1117.55,892.0,814.67,1039.0,165.63,2124.0,470.0,169.0,59.65,56.04,56.98,41.0,46.0,59.0,897.0,2.0,1.0
8473575,2013,Semyon Varlamov,COL,G,5on5,63,177330.0,121.57,101.0,2867.0,104.94,113.0,363.28,377.0,1542.5,1560.0,43.67,46.0,866.0,684.0,645.61,830.0,117.49,1681.0,365.0,105.0,48.78,43.53,29.26,33.0,36.0,32.0,716.0,0.0,0.0
8473575,2013,Semyon Varlamov,COL,G,4on5,63,17130.0,30.64,27.0,498.0,25.85,31.0,59.28,57.0,278.53,289.0,0.73,2.0,169.71,134.0,91.4,126.0,29.8,297.0,51.0,38.0,6.2,6.05,18.39,3.0,4.0,20.0,112.0,2.0,1.0
8473575,2013,Semyon Varlamov,COL,G,5on4,63,17589.0,2.81,1.0,58.0,1.46,1.0,3.99,7.0,29.34,39.0,7.48,5.0,8.19,4.0,25.68,29.0,2.74,31.0,8.0,4.0,0.68,1.06,1.08,1.0,0.0,0.0,15.0,0.0,0.0
8473575,2014,Semyon Varlamov,COL,G,other,57,5970.0,14.05,11.0,179.0,7.57,8.0,20.67,20.0,102.11,102.0,1.71,2.0,57.36,53.0,38.43,43.0,12.99,86.0,38.0,18.0,3.36,4.52,6.18,2.0,4.0,5.0,37.0,0.0,0.0
8473575,2014,Semyon Varlamov,COL,G,all,57,197210.0,157.82,141.0,3447.0,130.27,141.0,409.22,453.0,1801.46,1791.0,44.73,46.0,1024.68,841.0,745.31,888.0,150.79,1878.0,516.0,134.0,55.09,61.31,41.42,46.0,57.0,38.0,919.0,4.0,2.0
8473575,2014,Semyon Varlamov,COL,G,5on5,57,160937.0,118.56,114.0,2749.0,97.49,103.0,330.65,360.0,1417.99,1398.0,35.21,36.0,800.41,647.0,593.95,716.0,114.63,1491.0,403.0,94.0,44.47,47.93,26.15,41.0,47.0,26.0,761.0,4.0,2.0
8473575,2014,Semyon Varlamov,COL,G,4on5,57,15592.0,20.93,14.0,448.0,23.11,27.0,51.12,61.0,240.53,244.0,0.7,0.0,153.54,129.0,81.69,101.0,18.98,260.0,60.0,19.0,5.99,7.09,7.85,3.0,5.0,6.0,109.0,0.0,0.0
8473575,2014,Semyon Varlamov,COL,G,5on4,57,14711.0,3.44,1.0,46.0,1.48,3.0,4.02,7.0,29.09,35.0,6.28,6.0,7.98,8.0,25.19,22.0,3.35,28.0,12.0,3.0,0.84,1.35,1.24,0.0,0.0,1.0,3.0,0.0,0.0
8473575,2015,Semyon Varlamov,COL,G,other,57,4594.0,9.32,8.0,135.0,5.11,5.0,11.84,7.0,66.18,62.0,1.26,0.0,39.33,36.0,25.19,36.0,8.93,57.0,26.0,10.0,2.25,3.23,3.84,0.0,4.0,4.0,42.0,0.0,0.0
8473575,2015,Semyon Varlamov,COL,G,all,57,189565.0,151.09,148.0,3298.0,120.63,151.0,387.36,367.0,1714.38,1714.0,45.51,46.0,963.19,750.0,717.13,936.0,145.3,1809.0,444.0,142.0,50.64,53.67,46.79,56.0,47.0,45.0,903.0,6.0,3.0
8473575,2015,Semyon Varlamov,COL,G,5on5,57,155073.0,107.27,105.0,2668.0,91.6,119.0,323.32,307.0,1376.88,1365.0,36.39,38.0,772.39,598.0,586.61,760.0,104.02,1490.0,352.0,84.0,42.2,41.97,23.09,49.0,37.0,19.0,742.0,6.0,3.0
8473575,2015,Semyon Varlamov,COL,G,4on5,57,14805.0,28.75,31.0,426.0,21.44,22.0,46.66,49.0,227.78,234.0,1.25,2.0,139.08,106.0,72.82,104.0,26.72,229.0,46.0,41.0,5.37,5.81,17.56,6.0,4.0,21.0,110.0,0.0,0.0
